,business_status,name,place_id,price_level,rating,user_ratings_total
100,OPERATIONAL,Planet Wings,ChIJxyWBgGMtw4kRII-rt76jwEU,1.0,3.8,149.0
101,OPERATIONAL,Popeyes Louisiana Kitchen,ChIJceed7O8yw4kR8R6OyT6jgQw,1.0,3.5,785.0
102,OPERATIONAL,Aaojee,ChIJWePK4YAyw4kR8P3-Xesh7N0,,4.5,153.0
103,OPERATIONAL,Pizza Hut,ChIJl309hmQtw4kRYPx3pCU6aMo,1.0,3.7,284.0
104,OPERATIONAL,The Switch Inn,ChIJN6pGEYcyw4kRUu8NUcTs6KA,1.0,4.3,297.0
105,OPERATIONAL,Coney Island Cafe,ChIJw5C3j4gyw4kRxxHnAtaSJ3Y,1.0,4.2,153.0
106,OPERATIONAL,Asian 211 Bistro,ChIJUz5lamMtw4kResC9Zyhn6Y4,2.0,4.5,298.0
107,OPERATIONAL,Yuan Fu,ChIJt3ZLw5gyw4kRiv_8ODENXIw,1.0,4.2,67.0
108,OPERATIONAL,Burger King,ChIJfXy1cWMtw4kRiChfuiDp_HM,1.0,3.8,573.0
109,OPERATIONAL,Jackie's Latin Kitchen,ChIJrwvryIkyw4kR3Ui8TnQvIzU,1.0,4.6,116.0
110,OPERATIONAL,Texas Roadhouse,ChIJtdm0p-Yyw4kRGexgFAoTRWQ,2.0,4.5,1847.0
111,OPERATIONAL,Chipotle Mexican Grill,ChIJj_cVQRMtw4kRiTiQH3HN2t8,1.0,3.9,708.0
112,OPERATIONAL,Mr Sushi & Grill,ChIJsc_pFGwtw4kRPvdO05LCKNk,2.0,4.5,762.0
113,OPERATIONAL,Go-Go,ChIJ5abZWxItw4kRoSp0GcG-0lQ,1.0,3.8,178.0
114,OPERATIONAL,Boston Market,ChIJsc_pFGwtw4kR_8l8al5_Spo,1.0,4.0,245.0
115,OPERATIONAL,Panera Bread,ChIJk8WLOBMtw4kR1_ar47RyX14,2.0,3.8,609.0
116,OPERATIONAL,Starbucks,ChIJzRdwEhMtw4kRY6EbN4U-ZlA,2.0,4.0,724.0
117,OPERATIONAL,Ruby Tuesday,ChIJJWciDBMtw4kRVW3ghKq3JCU,2.0,3.8,823.0
118,OPERATIONAL,Buffalo Wild Wings,ChIJH9oceTstw4kRlBLZU2gjOdI,2.0,4.0,1365.0
119,OPERATIONAL,Joey's Pizza,ChIJ5abZWxItw4kRZx-A-eYqDbQ,1.0,4.5,308.0
120,OPERATIONAL,Olive Garden Italian Restaurant,ChIJR6_poDwtw4kRLuBVuttAGmo,2.0,4.2,1346.0
121,OPERATIONAL,Subway,ChIJ8ctlo-Eyw4kRimkaD2LlP-k,1.0,2.8,31.0
122,OPERATIONAL,Fortune Buffet,ChIJ8ctlo-Eyw4kR8QO83H2pLA8,1.0,3.4,341.0
123,OPERATIONAL,Denny's,ChIJHeva8mstw4kRjghJ_iWoFsw,1.0,3.7,1139.0
124,OPERATIONAL,MIX N MAC - Mac & Cheese,ChIJSStNmWQtw4kRRIHiTlLlZ7c,1.0,4.6,738.0
125,OPERATIONAL,Sonic Drive-In,ChIJf6JS1W4tw4kRDw2QxZj9frU,1.0,3.6,946.0
126,OPERATIONAL,Golden Corral Buffet & Grill,ChIJb9LNBnwyw4kRp2vX6SdFHKc,2.0,3.6,2054.0
127,CLOSED_TEMPORARILY,Subway,ChIJnbDtEW8tw4kRhkxfwIpTIs0,1.0,3.9,63.0
128,OPERATIONAL,Applebee's Grill + Bar,ChIJK1T-ohMtw4kR8Vd_T55ZLLA,2.0,3.9,976.0
129,OPERATIONAL,Made In Puerto Rico,ChIJxZTbonItw4kRXpWWsM9Puk8,2.0,3.8,374.0
130,OPERATIONAL,Pretzelmaker,ChIJdxMF3Bktw4kRGcc65CG2t-w,,3.6,7.0
131,OPERATIONAL,Olive Garden Italian Restaurant,ChIJR6_poDwtw4kRLuBVuttAGmo,2.0,4.2,1346.0
132,OPERATIONAL,Go-Go,ChIJ5abZWxItw4kRoSp0GcG-0lQ,1.0,3.8,178.0
133,OPERATIONAL,EZ Lounge,ChIJMRjCLR0tw4kRkYVEy3BeKFY,,3.6,29.0
134,OPERATIONAL,Buffalo Wild Wings,ChIJH9oceTstw4kRlBLZU2gjOdI,2.0,4.0,1365.0
135,OPERATIONAL,Cosimos Brick Oven,ChIJX6b6kyQtw4kRIjsTzqc0Vb4,2.0,4.5,1213.0
136,OPERATIONAL,Outback Steakhouse,ChIJT_GPpwQtw4kRpeROmW0v15E,2.0,4.3,1412.0
137,OPERATIONAL,Fortune Buffet,ChIJ8ctlo-Eyw4kR8QO83H2pLA8,1.0,3.4,341.0
138,OPERATIONAL,TGI Fridays,ChIJT_GPpwQtw4kR8vqwl7YlrHk,2.0,3.6,952.0
139,OPERATIONAL,China Star,ChIJPa4Z7dcsw4kRspmBAnQdssk,1.0,4.2,136.0
140,OPERATIONAL,Mr Smoothie,ChIJdxMF3Bktw4kRnkyma2v3ni0,,3.3,19.0
141,CLOSED_TEMPORARILY,Johnny Rockets,ChIJF2221dYsw4kR3Mso30nr0LA,2.0,3.8,109.0
142,OPERATIONAL,Charleys Philly Steaks,ChIJsxP7bxktw4kRRnHvHeco5Lw,1.0,3.6,85.0
